1234testID,John Doe,3245,[Pop Rap],99
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,43236735,[Pop Rap],87
1234testID,John Doe,3245,[Pop Rap],99
4IWBUUAFIplrNtaOHcJPRM,James Arthur,10293374,[Pop Rap],80
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,19465938,[Pop Rap],80
04gDigrS5kc9YWfZHwBETP,Maroon 5,37898474,[Pop Rap],85
5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,8049727,[Pop Rap],72
2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,10681442,[Pop Rap],75
540vIaP2JwjQb9dm3aArA4,DJ Snake,8078534,[Pop Rap],77
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,49741428,[Pop Rap],94
46GXASE9LHzyssNqKOInUu,Dawin,222284,[Pop Rap],52
738wLrAtLtCtFOLvQBXOXp,Major Lazer,6303906,[Pop Rap],74
1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,3616468,[Pop Rap],75
6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,4787703,[Pop Rap],81
5ZsFI1h6hIdQRw2ti0hz81,ZAYN,21293612,[Pop Rap],76
7gAppWoH7pcYmphCVTXkzs,The Vamps,5358308,[Pop Rap],69
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,83257020,[Pop Rap],88
02A3cEvlLLCbIMVDrK2GHV,Starley,171529,[Pop Rap],57
2oX42qP5ineK3hrhBECLmj,Andy Grammer,1091068,[Pop Rap],71
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,39262820,[Pop Rap],84
6MDME20pz9RveH9rEXvrOM,Clean Bandit,4909566,[Pop Rap],75
0jKQrxK2zHqxyOAyIMrUQt,SUD,503400,[Pop Rap],51
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,17503562,[Pop Rap],84
77AiFEVeAVj2ORpC85QVJs,Steve Aoki,3691226,[Pop Rap],74
3e7awlrlDSwF3iM0WBjGMp,Little Mix,10734359,[Pop Rap],77
3iri9nBFs9e4wN7PLIetAw,gnash,1583798,[Pop Rap],64
31TPClRtHm23RisEBtV3X7,Justin Timberlake,12191243,[Pop Rap],80
7iZtZyCzp3LItcw1wtPI3D,Rae Sremmurd,6930578,[Pop Rap],72
